'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'[02:13:34.074 07/11/2076]',-22.271,48.840,53.919,5.470,-148.083,39.072,74.628,119.170,-166.838,118.388,76.190,138.315,-39.463,57.436,75.018,73.065,73.455,73.846,-53.138,21.099,-116.825,-53.529,75.018
'[02:13:34.078 07/11/2076]',-17.192,49.231,56.654,2.735,-143.004,42.198,73.455,117.998,-164.103,116.825,76.972,119.951,-44.933,53.529,82.442,58.217,76.190,65.641,-55.873,20.317,-121.905,-57.827,82.442
'[02:13:34.082 07/11/2076]',-12.112,56.264,56.264,1.954,-137.924,45.324,73.455,119.951,-155.507,117.216,65.641,106.667,-49.231,58.217,87.912,36.337,79.707,62.906,-55.482,11.331,-126.203,-53.529,87.912
'[02:13:34.086 07/11/2076]',-1.172,58.217,57.436,5.079,-132.454,50.794,76.190,124.640,-151.990,118.779,68.767,134.408,-41.807,47.668,96.117,67.985,89.475,64.860,-56.654,14.066,-135.971,-58.217,96.117
'[02:13:34.090 07/11/2076]',8.987,58.608,58.608,10.159,-128.938,53.919,80.098,130.891,-153.553,118.388,77.753,154.725,-39.072,35.556,104.713,96.117,96.508,66.813,-57.827,18.364,-143.004,-65.641,104.713
'[02:13:34.094 07/11/2076]',12.112,66.422,57.827,11.722,-126.984,55.873,83.614,135.189,-130.110,112.918,67.985,136.752,-32.039,42.198,109.402,67.985,97.680,66.422,-57.045,5.079,-138.315,-57.045,109.402
'[02:13:34.098 07/11/2076]',14.847,66.813,62.515,14.066,-127.375,58.608,86.740,139.878,-110.574,109.402,55.873,131.282,-25.006,49.621,111.746,49.231,99.243,67.204,-61.734,-0.391,-130.501,-48.840,111.746
'[02:13:34.102 07/11/2076]',21.880,53.529,70.330,25.006,-126.203,57.045,94.554,145.348,-110.965,108.620,78.144,158.632,-10.940,34.774,118.779,91.429,106.667,73.846,-69.548,13.675,-121.123,-61.343,118.779
'[02:13:34.105 07/11/2076]',27.350,50.403,73.455,26.960,-117.216,57.827,96.899,140.659,-94.945,107.839,80.879,146.520,-0.781,38.291,123.858,78.535,107.057,78.144,-72.674,13.675,-112.137,-57.436,123.858
'[02:13:34.109 07/11/2076]',27.741,53.138,73.846,26.960,-110.183,60.562,94.164,136.752,-81.270,108.620,64.469,138.315,-4.298,55.092,124.249,55.482,105.495,79.316,-73.065,5.470,-106.667,-38.291,124.249
'[02:13:34.113 07/11/2076]',34.383,50.794,70.720,32.821,-96.899,60.952,91.038,134.408,-71.111,105.495,60.171,140.659,-3.516,55.873,127.766,55.092,100.806,84.005,-69.939,7.424,-113.700,-28.523,127.766
'[02:13:34.117 07/11/2076]',41.807,50.403,70.720,33.993,-82.442,60.171,90.256,129.719,-56.654,101.587,77.363,115.653,3.516,52.747,131.673,50.012,93.382,90.647,-69.939,12.894,-112.527,-32.821,131.673
'[02:13:34.121 07/11/2076]',44.542,49.231,72.283,35.946,-72.283,56.654,89.866,128.156,-46.105,95.336,86.740,109.402,8.205,52.747,130.501,53.138,82.833,95.336,-71.502,14.847,-109.011,-31.258,130.501
'[02:13:34.125 07/11/2076]',47.668,43.370,71.502,48.840,-62.515,51.575,87.521,135.189,-40.244,89.866,80.098,141.441,13.284,49.231,125.031,82.833,75.409,101.587,-70.720,18.755,-107.057,-26.569,125.031
'[02:13:34.129 07/11/2076]',49.231,37.509,71.893,56.264,-53.529,46.105,85.958,136.752,-34.774,85.177,77.363,142.222,18.755,48.840,116.435,85.958,70.330,106.276,-71.111,21.880,-98.462,-25.006,116.435
'[02:13:34.133 07/11/2076]',44.542,36.728,70.330,58.999,-46.105,39.072,83.223,135.971,-27.350,77.753,72.674,122.686,16.801,55.873,105.104,67.204,64.078,109.402,-69.548,19.145,-88.694,-18.755,105.104
'[02:13:34.137 07/11/2076]',44.542,32.039,66.813,64.860,-38.681,31.258,78.926,137.143,-23.834,71.502,69.158,139.878,21.880,52.747,93.382,88.303,59.780,111.746,-66.032,21.099,-83.614,-17.973,93.382
'[02:13:34.141 07/11/2076]',43.761,24.615,64.078,69.939,-32.430,23.443,74.628,138.315,-22.271,62.515,76.581,153.944,30.085,41.807,84.005,114.481,52.357,115.653,-63.297,26.178,-76.581,-25.788,84.005
'[02:13:34.145 07/11/2076]',41.026,24.225,62.125,68.376,-26.569,16.801,71.893,134.799,-21.880,58.999,78.144,130.110,27.350,43.761,77.363,94.945,42.979,119.560,-61.343,23.053,-69.939,-26.960,77.363
'[02:13:34.148 07/11/2076]',41.026,25.788,60.171,69.939,-21.490,17.582,69.158,132.845,-18.364,58.217,71.893,121.905,25.788,49.231,73.846,84.005,36.337,125.031,-59.389,19.536,-70.330,-23.053,73.846
'[02:13:34.152 07/11/2076]',48.449,23.443,60.171,76.972,-15.629,21.099,69.939,134.408,-20.317,62.906,80.879,151.990,36.728,41.807,76.581,119.170,38.681,132.845,-59.389,25.788,-75.409,-28.913,76.581
'[02:13:34.156 07/11/2076]',53.138,24.225,62.515,79.707,-13.675,27.350,71.502,135.189,-21.880,70.330,94.164,166.838,44.542,50.403,80.098,133.626,40.635,141.441,-61.734,28.913,-74.628,-29.695,80.098
'[02:13:34.160 07/11/2076]',53.529,30.867,60.171,78.535,-12.894,33.993,69.158,132.845,-20.317,80.098,83.223,148.474,35.165,79.707,80.098,96.117,41.807,139.487,-59.389,15.238,-72.674,-10.159,80.098
'[02:13:34.164 07/11/2076]',51.575,35.556,55.092,76.972,-11.331,36.337,66.032,129.328,-19.145,92.210,72.674,130.501,26.178,104.713,82.051,62.125,44.933,137.924,-54.310,-0.781,-66.813,4.298,82.051
'[02:13:34.168 07/11/2076]',58.999,39.463,51.575,67.985,-5.079,42.589,65.250,117.216,-19.145,105.104,85.568,136.752,32.430,106.276,88.303,79.316,55.873,139.096,-50.794,-1.563,-72.674,0.391,88.303
'[02:13:34.172 07/11/2076]',68.767,45.714,47.668,55.092,4.689,53.529,59.780,99.243,-11.331,118.388,90.647,123.468,33.211,109.011,97.680,79.707,63.297,136.361,-46.886,-4.298,-89.084,1.954,97.680
'[02:13:34.176 07/11/2076]',75.018,47.277,43.761,49.621,14.847,62.515,48.840,89.866,-1.172,129.719,64.469,126.593,22.662,112.527,105.104,78.144,68.376,126.203,-42.979,-9.377,-116.435,15.629,105.104
'[02:13:34.180 07/11/2076]',81.661,48.059,42.198,44.542,23.834,69.939,40.635,82.442,8.596,139.878,48.449,124.640,15.629,108.620,118.388,78.926,77.363,116.435,-41.416,-10.159,-141.832,20.317,118.388
'[02:13:34.184 07/11/2076]',84.005,48.059,44.542,37.900,27.741,75.800,40.244,71.111,18.364,147.692,53.138,90.647,6.252,101.978,134.408,67.985,83.223,107.839,-43.761,-8.987,-160.977,16.410,134.408
'[02:13:34.188 07/11/2076]',84.786,46.105,48.059,33.993,30.085,82.442,40.244,60.562,30.085,155.897,50.403,73.065,-1.172,97.680,147.692,66.422,88.303,99.634,-47.277,-11.331,-173.871,16.801,147.692
'[02:13:34.191 07/11/2076]',86.740,46.105,47.668,33.602,33.602,87.912,39.072,53.529,44.151,162.540,41.807,84.005,-1.563,89.084,161.368,84.786,91.819,96.117,-46.886,-16.020,-181.685,16.801,161.368
'[02:13:34.195 07/11/2076]',87.131,48.059,47.277,30.085,37.509,93.382,39.463,42.589,59.780,169.573,35.556,66.813,-2.344,86.740,168.010,79.707,93.773,94.554,-46.496,-21.099,-181.685,17.582,168.010
'[02:13:34.199 07/11/2076]',87.131,50.403,44.933,26.569,39.853,99.243,37.900,31.648,76.581,175.433,17.973,41.416,-5.861,93.773,166.056,57.827,91.038,91.038,-44.151,-30.085,-176.996,26.569,166.056
'[02:13:34.203 07/11/2076]',89.084,49.621,43.370,26.569,42.589,102.759,34.383,28.523,91.819,178.950,5.079,53.138,1.563,92.210,161.368,74.237,91.038,86.349,-42.589,-32.039,-169.963,31.258,161.368
'[02:13:34.207 07/11/2076]',90.647,49.621,44.933,24.615,44.151,107.839,34.383,23.053,104.322,178.559,7.424,58.999,12.894,89.084,153.162,94.164,93.382,82.833,-44.151,-30.867,-159.414,30.085,153.162
'[02:13:34.211 07/11/2076]',89.475,51.575,45.714,16.020,45.714,113.309,31.648,11.722,117.607,176.606,-0.781,21.880,16.801,94.164,141.832,60.952,89.866,73.065,-44.933,-33.993,-143.394,33.602,141.832
'[02:13:34.215 07/11/2076]',84.396,55.092,42.198,11.722,45.714,115.653,24.615,8.596,131.282,170.354,-19.536,-1.563,20.708,98.462,131.673,29.304,84.396,64.078,-41.416,-41.416,-128.547,40.635,131.673
'[02:13:34.219 07/11/2076]',86.349,53.919,41.807,12.503,45.714,116.825,24.615,7.814,133.236,163.321,-13.284,16.020,33.993,81.270,127.375,55.873,85.568,62.515,-41.026,-34.774,-116.825,27.741,127.375
'[02:13:34.223 07/11/2076]',86.349,52.747,38.291,10.940,44.542,117.998,21.880,5.861,134.017,156.288,-8.987,19.145,45.324,66.422,122.295,66.032,82.442,59.389,-37.509,-30.867,-102.759,16.410,122.295
'[02:13:34.227 07/11/2076]',78.926,54.310,33.211,11.331,39.463,113.309,14.847,9.768,135.580,148.083,-37.900,-0.391,40.244,71.502,110.574,21.880,72.283,48.840,-32.430,-43.370,-83.614,26.178,110.574
'[02:13:34.230 07/11/2076]',75.409,54.701,33.602,8.596,39.853,108.620,14.066,10.159,134.408,140.269,-41.416,-0.391,44.151,66.813,102.759,17.582,71.111,43.761,-32.821,-44.933,-71.502,23.834,102.759
'[02:13:34.234 07/11/2076]',80.879,51.966,32.039,1.954,43.370,109.011,12.503,1.954,128.938,130.501,-17.192,-2.735,58.608,45.714,97.680,36.337,68.376,40.635,-31.258,-30.867,-66.422,1.172,97.680
'[02:13:34.238 07/11/2076]',84.786,51.575,25.788,-2.735,49.621,110.965,1.954,-3.516,128.938,113.700,-8.205,-1.172,67.595,29.304,91.038,43.761,60.171,29.695,-25.006,-24.615,-66.813,-10.159,91.038
'[02:13:34.242 07/11/2076]',84.005,53.529,16.020,-4.298,52.357,110.965,-9.377,-2.735,126.203,98.852,-21.880,22.662,71.111,21.880,81.270,50.794,53.529,16.801,-15.238,-26.569,-64.860,-10.549,81.270
'[02:13:34.246 07/11/2076]',84.005,53.138,5.079,-6.642,53.919,107.448,-19.927,-5.079,121.905,85.958,-32.821,32.430,74.237,14.847,69.548,47.668,50.403,2.344,-4.298,-28.523,-57.827,-15.629,69.548
'[02:13:34.250 07/11/2076]',80.488,50.403,0.391,-9.768,54.310,104.713,-28.523,-7.424,117.607,76.190,-30.085,7.033,79.707,8.987,59.780,21.880,48.840,-9.377,0.391,-25.006,-46.105,-21.880,59.780
'[02:13:34.254 07/11/2076]',77.363,45.324,1.172,-13.284,55.482,99.243,-31.648,-10.940,113.309,70.720,-31.648,5.861,87.521,3.126,48.449,18.755,49.621,-21.099,-0.391,-20.708,-34.383,-26.960,48.449
'[02:13:34.258 07/11/2076]',76.190,37.509,0.781,-15.238,55.092,92.601,-36.337,-10.549,108.620,64.078,-33.993,22.271,98.071,-9.377,37.118,35.556,46.105,-29.304,0.000,-10.940,-30.476,-37.118,37.118
'[02:13:34.262 07/11/2076]',73.065,33.211,-2.735,-17.973,51.575,86.740,-41.416,-11.331,103.932,56.654,-38.291,9.377,101.587,-17.582,24.225,23.443,35.946,-36.337,3.516,-6.252,-27.741,-43.370,24.225
'[02:13:34.266 07/11/2076]',67.985,34.774,-12.503,-21.880,48.840,78.926,-45.714,-13.284,101.587,50.012,-54.701,-1.563,101.587,-19.145,9.768,3.516,27.741,-44.542,13.284,-11.722,-23.834,-42.198,9.768
'[02:13:34.270 07/11/2076]',67.204,29.695,-18.364,-24.615,46.496,75.800,-50.012,-19.145,98.071,45.714,-60.952,16.410,106.276,-29.304,-3.126,25.788,28.913,-53.529,19.145,-7.424,-26.960,-47.277,-3.126
'[02:13:34.273 07/11/2076]',68.767,20.317,-18.755,-25.397,47.277,76.190,-53.138,-26.569,96.508,45.714,-58.608,21.099,112.527,-41.026,-11.331,45.714,34.383,-60.171,19.536,0.781,-29.304,-52.747,-11.331
'[02:13:34.277 07/11/2076]',64.469,16.020,-17.582,-26.569,47.668,78.535,-54.701,-34.383,97.680,46.496,-68.767,-4.689,106.276,-34.774,-18.364,18.755,41.807,-71.111,18.364,-0.391,-26.569,-44.151,-18.364
'[02:13:34.281 07/11/2076]',59.389,14.457,-17.192,-26.569,46.886,76.972,-55.092,-38.681,99.634,49.231,-81.270,-19.927,96.117,-24.615,-19.536,-2.735,48.059,-77.363,17.973,-6.252,-24.225,-32.821,-19.536
'[02:13:34.285 07/11/2076]',61.734,8.987,-15.238,-21.880,46.886,75.409,-50.403,-37.900,94.945,53.138,-69.158,3.126,100.415,-30.476,-13.284,26.569,55.482,-71.893,16.020,0.391,-25.788,-36.728,-13.284
'[02:13:34.289 07/11/2076]',58.217,7.424,-15.238,-15.238,40.244,69.939,-44.933,-30.085,88.303,51.966,-65.250,28.132,97.680,-26.569,-9.377,42.589,55.092,-64.860,16.020,-2.735,-20.708,-33.211,-9.377
'[02:13:34.293 07/11/2076]',51.575,13.284,-15.629,-23.834,35.946,67.595,-43.370,-35.165,86.740,51.966,-74.237,5.470,83.223,-6.642,-7.814,2.735,48.449,-58.217,16.410,-14.066,-18.364,-17.192,-7.814
'[02:13:34.297 07/11/2076]',48.059,16.020,-10.940,-31.258,33.602,67.985,-40.635,-38.681,82.442,52.747,-76.972,-5.079,73.455,4.689,-5.861,-18.755,41.807,-46.496,11.722,-17.192,-21.490,-6.642,-5.861
'[02:13:34.301 07/11/2076]',53.138,14.066,-7.424,-35.556,33.211,70.720,-36.728,-42.198,74.237,51.575,-50.403,-11.331,77.363,-2.735,-2.735,-7.033,35.946,-30.085,8.205,-3.126,-31.648,-16.801,-2.735
'[02:13:34.305 07/11/2076]',53.919,15.238,-3.516,-42.198,32.039,67.985,-30.476,-44.933,69.939,51.575,-35.165,-22.662,75.800,0.391,-1.563,-10.159,27.741,-17.582,4.298,0.391,-34.774,-17.192,-1.563
'[02:13:34.309 07/11/2076]',50.794,13.675,-2.344,-38.681,28.132,59.780,-26.960,-36.728,63.687,53.138,-42.979,4.689,70.720,7.814,-2.344,1.954,19.927,-6.642,3.126,0.000,-39.072,-5.079,-2.344
'[02:13:34.313 07/11/2076]',47.277,11.722,0.781,-33.211,23.834,49.621,-20.708,-25.788,56.264,56.654,-46.886,19.927,66.032,15.629,0.391,5.079,14.066,5.470,0.000,0.781,-37.900,3.516,0.391
'[02:13:34.316 07/11/2076]',41.807,13.675,5.470,-33.993,19.145,41.416,-12.894,-20.708,55.873,61.343,-40.635,0.391,58.217,30.085,3.907,-16.020,8.987,14.066,-4.689,-2.344,-33.602,12.503,3.907
'[02:13:34.320 07/11/2076]',37.118,17.582,8.596,-32.821,15.238,36.728,-5.861,-15.238,53.138,64.860,-35.946,6.252,55.482,38.681,9.377,-15.238,5.470,23.053,-7.814,-5.470,-30.867,22.271,9.377
'[02:13:34.324 07/11/2076]',38.291,18.755,14.847,-28.132,13.284,35.946,1.563,-7.424,46.496,68.376,-25.006,26.178,57.436,41.026,16.410,1.172,1.954,35.556,-14.066,-1.954,-29.304,24.225,16.410
'[02:13:34.328 07/11/2076]',36.728,25.397,16.410,-26.569,10.940,34.383,9.377,-2.344,43.761,70.720,-17.192,12.503,57.045,50.012,19.536,-16.020,0.391,43.761,-15.629,-5.470,-23.834,29.695,19.536
'[02:13:34.332 07/11/2076]',31.648,30.085,21.099,-24.225,7.424,30.867,15.629,3.126,42.589,71.502,-24.225,-1.563,51.966,64.469,16.020,-43.370,-2.344,50.794,-20.317,-10.940,-14.847,41.416,16.020
'[02:13:34.336 07/11/2076]',31.648,26.178,29.695,-17.582,4.689,29.695,21.490,12.112,38.681,72.674,-17.973,30.085,58.999,61.343,14.457,-10.940,1.563,58.608,-28.913,-1.563,-13.675,41.416,14.457
'[02:13:34.340 07/11/2076]',32.821,21.880,35.946,-10.940,5.861,28.132,23.834,20.317,35.946,70.720,-7.424,51.966,67.595,51.966,10.159,22.662,6.642,59.780,-35.165,6.252,-12.503,37.118,10.159
'[02:13:34.344 07/11/2076]',28.913,23.834,37.118,-8.596,4.298,24.225,25.788,25.788,36.728,63.687,-14.457,37.509,60.171,56.264,3.126,4.689,4.689,57.827,-36.337,-1.172,-8.205,42.979,3.126
'[02:13:34.348 07/11/2076]',24.225,28.523,35.946,-3.516,1.954,18.755,28.523,34.774,34.383,54.310,-23.053,41.026,52.747,56.654,-1.954,0.391,4.689,57.436,-35.165,-10.940,-6.642,47.277,-1.954
'[02:13:34.352 07/11/2076]',26.178,26.960,35.165,5.861,-3.516,11.331,37.118,49.231,23.834,43.761,-2.344,77.363,61.343,32.821,-1.563,51.184,7.033,62.515,-34.383,-5.861,-4.689,26.569,-1.563
'[02:13:34.355 07/11/2076]',22.662,29.304,32.821,8.596,-12.503,7.814,41.026,57.436,19.145,30.476,3.907,80.098,59.389,25.006,-4.298,55.482,1.172,67.204,-32.039,-7.814,-3.126,19.145,-4.298
'[02:13:34.359 07/11/2076]',13.675,33.211,29.304,11.331,-21.880,3.516,38.291,67.985,17.973,19.145,-12.503,82.833,48.059,29.695,-12.503,42.589,-8.596,67.595,-28.523,-13.675,-5.079,25.788,-12.503
'[02:13:34.363 07/11/2076]',10.549,32.039,21.490,15.238,-27.741,0.781,30.867,77.363,16.801,6.642,-21.880,88.694,44.933,22.662,-22.271,45.714,-19.927,65.250,-20.708,-12.503,-10.940,25.006,-22.271
'[02:13:34.367 07/11/2076]',9.377,32.430,16.020,13.675,-31.258,-0.391,26.178,79.316,11.331,-0.781,-7.814,70.720,46.496,11.722,-30.085,44.933,-26.178,63.687,-15.238,-6.252,-9.377,9.377,-30.085
'[02:13:34.371 07/11/2076]',8.596,32.821,7.814,12.112,-32.430,-5.470,21.099,80.488,7.814,-7.033,-3.907,62.515,45.714,7.814,-40.635,45.324,-31.648,57.436,-7.033,-5.470,-7.814,4.689,-40.635
'[02:13:34.375 07/11/2076]',7.424,30.867,-1.563,17.192,-33.993,-10.549,15.629,84.396,2.344,-12.112,-13.284,88.694,47.277,3.126,-49.621,64.469,-34.383,51.184,2.344,-6.642,-5.470,5.470,-49.621
'[02:13:34.379 07/11/2076]',5.861,27.741,-5.470,17.973,-34.774,-14.457,12.503,83.614,-3.126,-12.894,-14.847,87.131,45.324,2.344,-50.012,57.827,-34.383,47.668,6.252,-4.689,0.000,3.907,-50.012
'[02:13:34.383 07/11/2076]',0.781,24.225,-8.596,17.973,-34.774,-18.364,9.377,78.535,-4.689,-12.112,-16.020,63.687,35.556,12.503,-50.794,32.039,-36.337,45.714,9.377,-5.470,4.689,11.722,-50.794
'[02:13:34.387 07/11/2076]',-1.563,17.582,-10.549,22.662,-32.039,-22.271,7.033,75.800,-3.126,-10.549,-17.192,72.674,34.383,13.284,-47.668,41.026,-35.165,41.807,11.331,-2.735,8.205,16.410,-47.668
'[02:13:34.391 07/11/2076]',-2.735,12.894,-13.675,27.741,-29.695,-24.225,6.642,72.283,-1.172,-8.987,-10.940,78.926,36.337,9.377,-44.151,55.092,-35.165,38.681,14.457,0.781,13.284,14.847,-44.151
'[02:13:34.395 07/11/2076]',-6.642,13.675,-17.973,26.569,-25.397,-25.006,3.907,63.297,3.126,-8.596,-12.894,48.059,29.304,17.192,-43.370,26.178,-36.337,32.430,18.755,-2.735,20.708,19.927,-43.370
'[02:13:34.398 07/11/2076]',-11.722,16.020,-23.053,27.741,-19.927,-26.569,1.172,55.873,12.894,-11.722,-23.834,27.350,23.443,24.225,-43.370,0.781,-41.026,25.788,23.834,-7.814,26.569,29.695,-43.370
'[02:13:34.402 07/11/2076]',-12.503,10.159,-24.225,32.821,-17.582,-27.350,0.391,51.184,17.582,-16.410,-19.145,46.105,28.132,14.847,-42.589,28.132,-43.761,25.397,25.006,0.391,30.085,25.397,-42.589
'[02:13:34.406 07/11/2076]',-15.629,5.861,-23.053,35.556,-15.238,-26.178,1.172,44.542,23.053,-23.443,-8.987,50.403,30.476,7.424,-38.291,42.589,-46.496,26.569,23.834,3.516,38.291,23.053,-38.291
'[02:13:34.410 07/11/2076]',-22.271,2.735,-20.317,37.900,-13.284,-27.741,2.735,36.728,33.211,-28.913,-19.145,21.099,18.364,17.973,-36.728,5.861,-53.138,23.834,21.099,-3.126,49.621,36.337,-36.728
'[02:13:34.414 07/11/2076]',-29.695,0.391,-21.490,45.714,-14.847,-33.211,8.596,35.556,43.761,-33.602,-31.258,0.000,10.159,26.178,-33.602,-23.834,-59.389,25.788,22.271,-14.847,66.032,46.496,-33.602
'[02:13:34.418 07/11/2076]',-26.960,-3.126,-17.192,46.105,-12.112,-32.430,16.801,26.569,50.012,-36.337,-11.331,6.252,17.973,16.020,-24.615,-1.172,-58.217,35.556,17.973,-6.252,70.330,38.681,-24.615
'[02:13:34.422 07/11/2076]',-23.053,-2.735,-15.629,46.105,-3.126,-28.913,19.536,16.801,62.906,-41.026,2.344,0.391,25.006,14.066,-16.410,2.735,-62.515,44.151,16.410,-1.563,69.158,39.463,-16.410
'[02:13:34.426 07/11/2076]',-22.662,-3.516,-16.801,52.357,1.954,-26.569,17.192,14.847,77.753,-46.886,-10.940,14.066,24.615,21.099,-14.847,2.344,-71.502,49.231,17.582,-1.563,63.297,53.919,-14.847
'[02:13:34.430 07/11/2076]',-22.271,-5.470,-14.847,56.654,8.205,-23.053,18.364,9.768,88.694,-52.357,-11.722,23.443,28.913,25.397,-12.894,7.033,-73.455,58.999,15.629,0.391,61.343,62.906,-12.894
'[02:13:34.434 07/11/2076]',-20.317,-7.033,-9.377,57.827,13.284,-17.192,24.225,0.391,94.945,-54.701,10.549,0.781,34.774,25.788,-8.987,0.000,-71.893,68.376,10.159,5.079,66.032,60.171,-8.987
'[02:13:34.438 07/11/2076]',-17.192,-8.205,-4.689,61.343,15.629,-11.331,31.648,-4.298,98.852,-56.264,23.053,-1.563,42.198,26.569,-6.252,0.391,-69.939,78.144,5.470,6.642,70.330,58.217,-6.252
'[02:13:34.441 07/11/2076]',-13.284,-9.768,0.391,66.422,16.801,-7.033,37.900,-3.126,94.554,-53.529,26.569,23.053,50.794,24.615,-5.470,20.317,-65.641,89.084,0.391,6.642,74.237,54.701,-5.470
'[02:13:34.445 07/11/2076]',-8.205,-6.642,5.079,68.767,18.755,-1.954,44.542,-3.516,89.475,-47.668,35.556,23.053,55.873,26.178,-1.563,19.927,-59.389,98.462,-4.298,6.252,72.283,50.403,-1.563
