'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'[15:07:42.043 06/11/2076]',48.449,91.429,84.005,75.800,95.336,73.065,128.156,2.735,106.667,-57.436,174.652,165.665,-24.225,218.413,141.050,54.701,12.503,191.844,-83.223,-45.714,18.364,123.077,141.050
'[15:07:42.047 06/11/2076]',30.867,87.521,89.475,78.535,96.117,62.906,137.924,-8.596,119.560,-91.429,177.387,158.632,1.172,60.952,246.935,54.310,-0.781,193.016,-88.694,-51.966,7.424,44.542,246.935
'[15:07:42.051 06/11/2076]',30.476,89.866,86.740,61.343,103.541,67.204,129.719,-30.867,121.123,-107.839,186.764,139.487,8.987,41.026,229.744,60.171,-12.503,191.453,-85.958,-46.105,0.000,28.132,229.744
'[15:07:42.055 06/11/2076]',24.615,82.051,84.786,57.827,108.620,59.780,122.295,-40.635,112.137,-111.355,180.122,134.017,-0.781,-42.198,298.120,60.952,-21.099,187.155,-84.005,-50.794,-23.443,-18.755,298.120
'[15:07:42.059 06/11/2076]',20.708,87.912,93.773,42.198,117.998,61.734,128.938,-62.906,119.170,-101.197,175.433,106.667,0.391,-39.463,286.007,52.747,-23.443,193.016,-92.991,-55.092,-46.886,14.457,286.007
'[15:07:42.063 06/11/2076]',13.284,89.084,93.382,33.602,115.653,57.436,126.593,-69.158,110.965,-116.044,168.791,99.634,1.563,-12.112,201.221,72.283,-29.304,189.890,-92.601,-58.608,-51.966,54.701,201.221
'[15:07:42.066 06/11/2076]',1.563,89.084,94.554,39.853,103.150,55.092,130.501,-62.906,91.429,-93.382,161.758,110.183,0.781,-135.580,319.219,85.568,-23.834,187.937,-93.773,-67.204,-76.581,-37.118,319.219
'[15:07:42.070 06/11/2076]',-5.079,94.164,100.415,35.946,96.508,57.827,140.659,-68.376,104.322,-93.773,147.692,114.481,-140.659,-3.126,312.967,104.713,-20.708,189.109,-99.634,-67.204,-128.156,7.424,312.967
'[15:07:42.074 06/11/2076]',-12.503,95.336,100.024,38.681,80.879,53.529,143.394,-56.264,84.396,-124.249,157.851,121.514,-101.978,-43.761,262.564,123.858,-27.350,187.937,-99.243,-68.767,-128.938,11.722,262.564
'[15:07:42.078 06/11/2076]',-25.006,91.038,94.164,53.919,58.608,44.542,142.222,-30.867,47.668,-124.249,172.308,126.984,-130.110,-93.382,342.271,105.885,-30.867,188.327,-93.382,-73.455,-163.321,-21.880,342.271
'[15:07:42.082 06/11/2076]',-23.834,88.694,96.899,39.463,51.184,40.635,149.255,-39.463,28.913,-118.779,180.122,131.673,-147.302,-104.322,355.556,118.779,-27.741,200.049,-96.117,-60.952,-167.619,-58.999,355.556
'[15:07:42.086 06/11/2076]',-28.132,85.958,103.150,29.695,42.198,35.556,157.070,-43.761,21.490,-131.282,183.248,128.547,-39.072,-170.354,281.709,130.891,-32.821,208.254,-102.369,-50.012,-207.473,20.317,281.709
'[15:07:42.090 06/11/2076]',-41.026,84.005,95.726,34.383,19.927,25.397,151.990,-24.225,-14.066,-139.878,197.314,130.110,-66.422,-183.248,293.040,131.282,-37.900,210.598,-94.945,-55.482,-201.221,-16.410,293.040
'[15:07:42.094 06/11/2076]',-51.575,78.535,92.991,35.165,-1.172,18.364,151.600,-12.503,-23.053,-105.495,176.996,122.686,-170.745,-107.839,303.199,146.520,-34.774,215.287,-92.210,-59.780,-230.134,-19.927,303.199
'[15:07:42.098 06/11/2076]',-57.045,69.939,92.210,36.728,-20.317,10.549,159.805,-6.642,-39.072,-107.057,181.685,130.501,-173.480,-69.158,239.902,169.573,-34.383,222.320,-91.429,-44.542,-256.313,27.350,239.902
'[15:07:42.102 06/11/2076]',-61.343,60.952,84.786,46.105,-43.370,0.000,158.632,17.582,-65.641,-114.872,194.969,155.897,-193.407,7.424,162.930,193.016,-31.648,224.664,-84.005,-39.853,-262.955,76.972,162.930
'[15:07:42.105 06/11/2076]',-73.065,51.966,74.628,65.641,-73.846,-7.033,142.613,58.999,-117.607,-94.164,206.691,168.791,-255.140,-101.587,333.284,187.155,-25.006,215.287,-73.846,-46.496,-257.094,-92.991,333.284
'[15:07:42.109 06/11/2076]',-60.952,57.827,90.256,38.291,-71.502,11.722,140.269,45.714,-109.011,-70.330,196.532,147.302,-238.730,-167.228,398.535,172.698,-10.940,216.068,-89.475,-37.118,-324.689,-91.819,398.535
'[15:07:42.113 06/11/2076]',-59.780,50.403,82.051,55.482,-81.270,16.410,123.858,69.548,-117.998,-76.190,185.201,161.758,-247.326,-192.625,396.190,196.142,-12.894,202.784,-81.270,-23.443,-351.648,-101.197,396.190
'[15:07:42.117 06/11/2076]',-54.701,47.668,82.442,61.343,-83.614,22.271,109.792,87.912,-126.203,-58.217,166.056,167.619,-268.816,-219.194,433.309,204.347,-7.033,183.248,-81.661,-18.755,-395.018,-106.667,433.309
'[15:07:42.121 06/11/2076]',-47.277,40.244,88.694,52.747,-81.270,26.569,98.852,90.256,-130.501,-58.999,148.474,176.215,-271.941,-204.347,388.767,222.320,-3.126,162.149,-87.912,-6.642,-388.376,-100.024,388.767
'[15:07:42.125 06/11/2076]',-42.979,30.867,81.270,54.310,-83.223,19.927,84.005,103.541,-150.427,-82.833,141.441,186.764,-245.372,-149.255,240.293,248.498,-3.907,138.315,-80.488,5.861,-368.840,-35.556,240.293
'[15:07:42.129 06/11/2076]',-35.556,25.788,81.661,53.529,-81.661,20.317,71.502,115.653,-171.136,-71.893,142.613,175.824,-262.564,-182.076,280.147,239.902,6.252,117.998,-80.879,3.126,-358.681,-91.429,280.147
'[15:07:42.133 06/11/2076]',-23.834,25.006,91.038,33.211,-70.720,31.258,64.469,101.197,-168.400,-46.105,138.706,159.805,-263.736,-153.944,265.299,236.386,23.053,106.276,-90.256,2.344,-332.894,-95.726,265.299
'[15:07:42.137 06/11/2076]',-8.205,21.880,92.210,25.397,-56.654,36.728,58.999,92.601,-173.871,-37.900,152.381,160.977,-230.134,-129.328,206.300,255.531,38.291,100.806,-91.429,6.642,-302.418,-88.303,206.300
'[15:07:42.141 06/11/2076]',0.000,21.490,92.210,34.774,-50.403,44.151,50.794,104.322,-172.698,25.006,147.302,128.156,-242.637,-158.632,308.669,221.929,58.608,92.210,-91.429,-7.424,-337.582,-112.918,308.669
'[15:07:42.145 06/11/2076]',12.503,28.132,94.945,29.304,-36.728,50.794,44.933,106.667,-166.056,46.496,157.070,111.355,-234.432,-13.284,198.095,199.658,71.893,85.958,-94.164,-16.020,-336.020,8.987,198.095
'[15:07:42.148 06/11/2076]',30.085,25.006,88.694,25.006,-19.536,49.621,39.072,100.806,-155.116,47.277,161.368,117.998,-159.414,-30.867,139.878,224.274,79.316,78.144,-87.912,-2.735,-302.808,-8.987,139.878
'[15:07:42.152 06/11/2076]',45.714,21.880,80.879,26.569,-3.907,48.059,31.258,100.806,-117.607,82.051,136.752,103.150,-179.731,-25.006,177.387,232.479,83.223,64.078,-80.098,3.907,-311.013,-57.436,177.387
'[15:07:42.156 06/11/2076]',54.310,28.132,81.270,14.066,12.894,42.979,19.536,102.759,-71.111,101.978,101.587,75.409,-161.758,68.376,106.667,194.969,80.098,39.853,-80.488,-12.112,-289.133,21.490,106.667
'[15:07:42.160 06/11/2076]',60.952,29.695,75.018,2.344,25.788,28.913,11.331,103.150,-50.403,96.899,82.442,64.860,-129.328,65.641,64.860,192.234,73.065,17.973,-74.237,-21.099,-214.115,-28.132,64.860
'[15:07:42.164 06/11/2076]',67.595,25.788,66.032,6.252,39.463,14.457,10.159,102.759,-19.145,124.640,55.092,48.059,-114.872,-2.344,154.725,171.917,71.111,-0.391,-65.250,-24.225,-227.009,-82.442,154.725
'[15:07:42.168 06/11/2076]',71.893,31.258,61.734,-4.689,53.529,4.298,4.298,97.680,-2.344,136.361,33.993,16.801,-71.893,25.788,102.759,129.719,63.687,-23.834,-60.952,-39.463,-202.784,-29.695,102.759
'[15:07:42.172 06/11/2076]',78.535,35.165,51.966,-23.053,71.893,-4.689,-8.987,84.786,17.582,107.839,21.099,-8.205,-74.628,48.840,51.966,113.700,47.277,-49.231,-51.184,-45.324,-171.526,-26.569,51.966
'[15:07:42.176 06/11/2076]',85.177,28.523,30.476,-32.821,88.303,-13.675,-30.085,67.985,40.244,91.429,3.907,-29.304,-50.794,21.099,31.258,105.495,25.788,-75.800,-29.695,-35.165,-167.228,-40.244,31.258
'[15:07:42.180 06/11/2076]',85.177,22.662,13.675,-48.059,102.369,-28.523,-43.761,44.933,71.502,72.674,-27.350,-65.641,-26.569,66.422,-71.502,83.614,0.000,-106.276,-12.894,-30.867,-128.938,2.735,-71.502
'[15:07:42.184 06/11/2076]',80.879,9.768,-5.079,-58.217,112.137,-48.449,-64.860,28.523,101.197,35.165,-58.999,-85.568,-5.079,75.800,-156.679,78.144,-32.430,-138.315,5.861,-28.523,-116.825,50.403,-156.679
'[15:07:42.188 06/11/2076]',78.144,0.000,-24.225,-67.204,122.686,-66.813,-80.488,12.112,126.984,-3.516,-75.800,-94.554,0.391,69.939,-182.076,63.687,-61.343,-162.149,25.006,-23.834,-74.237,26.569,-182.076
'[15:07:42.191 06/11/2076]',69.939,-9.768,-37.509,-76.190,126.593,-87.912,-91.429,-1.172,142.613,-20.708,-103.932,-124.249,2.735,67.595,-212.943,35.165,-89.866,-184.029,38.291,-27.741,-62.906,45.324,-212.943
'[15:07:42.195 06/11/2076]',54.310,-21.099,-57.436,-71.502,125.031,-110.965,-112.918,1.954,151.990,-41.026,-130.501,-150.037,-2.735,-3.126,-162.149,-0.781,-120.342,-203.565,58.217,-35.556,-80.879,31.648,-162.149
'[15:07:42.199 06/11/2076]',53.919,-25.788,-59.780,-96.117,135.971,-125.812,-118.388,-19.536,178.559,-52.357,-159.805,-168.400,-27.350,87.131,-253.578,-8.205,-144.567,-218.022,60.562,-35.165,-53.919,86.349,-253.578
'[15:07:42.203 06/11/2076]',33.602,-45.324,-76.972,-89.475,123.468,-153.944,-130.110,-17.582,176.215,-68.376,-184.420,-172.308,-35.165,-45.324,-144.176,-23.443,-176.606,-235.995,77.753,-31.258,-69.548,1.172,-144.176
'[15:07:42.207 06/11/2076]',21.099,-49.621,-84.786,-117.607,117.998,-169.182,-139.878,-40.635,184.029,-103.541,-196.923,-210.208,-28.913,1.954,-237.167,-62.515,-207.473,-246.935,85.568,-33.602,-30.867,52.357,-237.167
'[15:07:42.211 06/11/2076]',4.689,-60.562,-101.587,-126.203,103.541,-187.155,-152.381,-48.840,171.917,-132.845,-206.691,-224.274,-62.515,-56.264,-194.969,-77.753,-239.902,-252.796,102.369,-32.430,16.020,-54.701,-194.969
'[15:07:42.215 06/11/2076]',-10.159,-74.237,-115.653,-129.328,91.038,-202.393,-153.944,-64.860,162.930,-164.493,-205.519,-226.227,-42.979,-105.104,-190.672,-93.773,-268.816,-249.280,116.435,-22.271,12.503,-49.621,-190.672
'[15:07:42.219 06/11/2076]',-23.443,-83.223,-130.110,-134.799,78.535,-216.459,-156.288,-78.535,159.805,-191.062,-220.757,-232.479,-17.973,-186.374,-183.639,-96.117,-294.603,-246.935,130.891,-15.238,25.788,-91.819,-183.639
'[15:07:42.223 06/11/2076]',-41.026,-88.694,-141.050,-139.878,57.436,-230.525,-162.149,-76.581,125.812,-209.426,-222.711,-240.293,-11.331,-183.639,-232.479,-118.388,-315.702,-246.154,141.832,-28.913,60.171,-73.065,-232.479
'[15:07:42.227 06/11/2076]',-66.032,-96.117,-146.520,-133.626,34.383,-246.154,-162.540,-69.158,130.891,-236.777,-248.107,-251.233,-73.455,-113.700,-264.127,-152.772,-336.410,-251.233,147.302,-48.449,61.734,-4.689,-264.127
'[15:07:42.230 06/11/2076]',-75.018,-99.243,-146.520,-143.785,23.443,-249.670,-151.990,-86.740,117.998,-252.015,-243.028,-256.313,-40.244,-171.136,-254.750,-165.665,-341.880,-242.247,147.302,-37.509,81.270,-33.993,-254.750
'[15:07:42.234 06/11/2076]',-86.349,-102.369,-146.911,-151.209,6.252,-247.326,-148.474,-98.462,99.634,-255.922,-237.949,-273.504,-79.707,-118.388,-288.742,-180.513,-345.397,-233.651,147.692,-29.304,82.833,-8.596,-288.742
'[15:07:42.238 06/11/2076]',-90.647,-107.448,-153.162,-148.474,-2.344,-241.074,-157.851,-99.243,94.554,-278.584,-239.512,-262.955,-99.243,-107.448,-305.153,-173.089,-355.946,-230.525,153.944,-15.629,79.316,-4.689,-305.153
'[15:07:42.242 06/11/2076]',-90.647,-112.137,-155.507,-153.944,-10.549,-234.823,-157.460,-109.011,83.223,-286.789,-234.823,-261.783,-75.800,-164.884,-282.882,-175.433,-356.728,-223.492,156.288,4.689,72.283,-37.900,-282.882
'[15:07:42.246 06/11/2076]',-96.899,-117.607,-160.977,-151.600,-30.476,-232.088,-157.460,-107.448,51.575,-296.166,-221.148,-261.001,-76.581,-137.924,-328.205,-183.639,-357.509,-217.241,161.758,13.675,89.866,-21.099,-328.205
'[15:07:42.250 06/11/2076]',-108.230,-125.421,-169.182,-143.785,-50.403,-232.869,-162.540,-100.806,41.807,-317.656,-232.088,-244.982,-69.158,-166.056,-332.894,-184.420,-362.198,-219.976,169.963,17.192,109.792,-30.867,-332.894
'[15:07:42.254 06/11/2076]',-114.481,-129.719,-160.977,-140.659,-66.422,-227.009,-154.335,-97.289,30.867,-302.027,-235.214,-238.730,-63.297,-147.692,-337.582,-195.751,-353.602,-215.678,161.758,21.490,117.216,-4.298,-337.582
'[15:07:42.258 06/11/2076]',-130.110,-130.110,-157.851,-130.501,-91.819,-218.413,-148.083,-90.256,4.298,-301.636,-227.399,-243.419,-87.131,-195.751,-268.816,-216.459,-346.178,-209.426,158.632,25.006,153.162,-86.349,-268.816
'[15:07:42.262 06/11/2076]',-143.394,-130.110,-154.335,-118.388,-114.872,-207.082,-146.911,-77.753,-8.987,-307.888,-226.227,-244.982,-78.926,-134.408,-344.615,-230.916,-340.708,-201.612,155.116,29.304,165.275,-4.298,-344.615
'[15:07:42.266 06/11/2076]',-148.474,-133.236,-142.222,-106.276,-128.156,-191.844,-138.315,-72.283,-11.722,-288.742,-232.088,-228.571,-87.131,-164.493,-278.584,-231.306,-325.079,-189.109,143.004,36.337,165.275,-29.695,-278.584
'[15:07:42.270 06/11/2076]',-148.474,-131.282,-129.719,-102.759,-135.580,-175.043,-127.375,-75.409,-21.490,-291.087,-214.505,-221.538,-34.774,-232.869,-246.154,-235.604,-309.451,-173.871,130.501,47.668,191.453,-62.906,-246.154
'[15:07:42.273 06/11/2076]',-159.414,-127.766,-123.468,-94.554,-151.600,-163.321,-128.156,-62.906,-39.463,-285.226,-216.459,-228.571,-52.357,-205.910,-258.657,-253.578,-300.073,-170.354,124.249,46.886,210.598,-48.449,-258.657
'[15:07:42.277 06/11/2076]',-164.103,-120.733,-109.402,-95.336,-157.851,-147.692,-125.421,-58.608,-37.118,-274.676,-221.148,-228.962,-47.277,-104.713,-332.112,-278.974,-284.835,-167.228,110.183,41.416,232.479,51.184,-332.112
'[15:07:42.281 06/11/2076]',-165.275,-118.779,-103.150,-82.442,-166.838,-137.143,-116.435,-50.012,-58.608,-270.769,-213.724,-205.128,-26.178,-135.189,-322.344,-264.908,-267.643,-158.632,103.932,57.045,286.007,-10.549,-322.344
'[15:07:42.285 06/11/2076]',-179.341,-117.998,-94.164,-63.687,-186.764,-125.031,-107.448,-36.337,-74.237,-250.842,-207.082,-198.877,-27.350,-170.745,-246.545,-286.789,-248.498,-146.911,94.945,59.780,305.934,-47.277,-246.545
'[15:07:42.289 06/11/2076]',-184.420,-112.137,-83.223,-53.919,-197.314,-112.137,-105.885,-18.364,-82.051,-237.558,-205.910,-193.016,-45.324,-64.469,-298.120,-311.404,-226.618,-139.878,84.005,39.853,350.867,25.397,-298.120
'[15:07:42.293 06/11/2076]',-175.433,-106.276,-73.455,-39.072,-195.751,-94.164,-96.899,-8.205,-103.932,-227.399,-178.950,-170.354,-5.470,-133.626,-236.777,-304.371,-200.440,-117.607,74.237,43.761,408.303,-66.422,-236.777
'[15:07:42.297 06/11/2076]',-171.917,-98.071,-65.250,-26.960,-196.142,-69.158,-83.614,-13.675,-84.396,-193.797,-182.857,-189.890,-17.973,-111.746,-209.426,-312.576,-174.652,-96.899,66.032,49.231,361.416,-19.145,-209.426
'[15:07:42.301 06/11/2076]',-158.632,-88.303,-58.999,-22.662,-187.155,-42.979,-78.535,-19.536,-85.958,-183.248,-169.573,-180.122,3.126,-21.880,-309.060,-291.868,-157.460,-83.614,59.780,56.264,371.966,59.780,-309.060
'[15:07:42.305 06/11/2076]',-146.911,-80.879,-51.575,-11.331,-183.639,-20.708,-72.674,-14.457,-95.726,-183.639,-140.659,-155.116,44.151,-93.382,-245.372,-282.100,-138.315,-67.204,52.357,62.515,378.608,2.344,-245.372
'[15:07:42.309 06/11/2076]',-142.222,-73.846,-42.589,-1.172,-182.857,-3.907,-61.343,-13.284,-91.819,-180.122,-138.706,-144.176,69.548,-123.858,-237.949,-263.346,-123.858,-53.138,43.370,66.422,360.635,10.159,-237.949
'[15:07:42.313 06/11/2076]',-140.269,-71.111,-31.258,11.722,-185.201,8.205,-51.184,-3.516,-112.137,-174.261,-113.309,-132.454,82.051,-164.884,-179.341,-271.941,-109.011,-41.416,32.039,61.734,362.198,-16.020,-179.341
'[15:07:42.316 06/11/2076]',-132.063,-67.204,-20.708,16.801,-183.639,17.192,-42.979,5.470,-135.971,-187.155,-82.442,-97.680,105.495,-185.983,-183.248,-241.074,-92.991,-28.523,21.490,62.515,415.336,-77.363,-183.248
'[15:07:42.320 06/11/2076]',-124.640,-61.343,-5.861,23.053,-175.043,30.085,-31.258,6.252,-116.825,-136.361,-105.104,-92.210,87.912,-159.805,-148.083,-232.088,-70.330,-16.410,6.642,60.952,361.807,-34.774,-148.083
'[15:07:42.324 06/11/2076]',-126.203,-58.217,1.172,37.509,-176.606,35.946,-26.569,21.099,-127.766,-109.792,-99.634,-93.773,59.389,-74.237,-178.559,-238.730,-58.608,-8.205,-0.391,55.873,348.132,26.569,-178.559
'[15:07:42.328 06/11/2076]',-124.640,-49.621,9.377,37.509,-174.261,40.244,-21.099,27.741,-124.640,-94.554,-94.554,-94.945,34.774,-25.397,-173.089,-245.372,-47.668,0.391,-8.596,48.449,355.165,26.178,-173.089
'[15:07:42.332 06/11/2076]',-116.044,-48.059,19.927,39.072,-166.447,41.416,-11.722,29.695,-125.031,-89.084,-78.926,-72.283,53.138,25.397,-217.631,-227.399,-37.900,12.503,-19.145,57.436,345.788,75.800,-217.631
'[15:07:42.336 06/11/2076]',-107.448,-46.496,27.350,40.244,-159.414,44.933,-2.344,29.695,-134.799,-87.912,-55.092,-59.780,100.024,8.987,-240.293,-208.645,-31.258,25.788,-26.569,67.985,351.648,76.190,-240.293
'[15:07:42.340 06/11/2076]',-103.541,-42.979,31.258,45.324,-157.851,44.933,-2.735,44.542,-138.706,-86.349,-42.589,-54.310,92.991,50.794,-252.796,-215.287,-28.913,33.211,-30.476,59.389,368.449,85.568,-252.796
'[15:07:42.344 06/11/2076]',-99.634,-39.072,40.635,53.138,-153.944,46.496,-0.781,62.515,-135.189,-51.966,-43.370,-49.231,78.144,-52.747,-82.442,-224.274,-17.582,42.589,-39.853,44.151,359.853,-32.821,-82.442
'[15:07:42.348 06/11/2076]',-91.038,-38.681,44.933,60.171,-148.864,44.933,12.503,65.641,-132.063,-14.457,-38.681,-48.059,113.309,-59.780,-64.078,-225.446,-5.079,57.827,-44.151,46.105,347.741,-22.271,-64.078
'[15:07:42.352 06/11/2076]',-92.601,-44.542,45.714,72.283,-152.381,32.039,19.536,80.488,-123.468,0.000,-45.324,-33.602,95.726,16.410,-101.587,-214.505,0.391,62.125,-44.933,38.681,334.066,44.933,-101.587
'[15:07:42.355 06/11/2076]',-91.429,-38.291,48.059,65.641,-151.600,30.867,16.801,86.740,-133.236,18.755,-35.556,-31.258,59.389,45.714,-64.860,-223.101,8.987,59.780,-47.277,22.662,353.211,7.814,-64.860
'[15:07:42.359 06/11/2076]',-81.661,-33.211,49.231,48.059,-143.394,34.383,17.582,72.674,-126.984,16.410,-19.145,-36.337,120.342,93.382,-167.228,-214.896,18.364,62.125,-48.449,28.523,334.457,105.495,-167.228
'[15:07:42.363 06/11/2076]',-80.488,-34.774,41.026,51.184,-141.441,33.993,9.377,72.674,-131.282,14.847,-10.159,-30.476,103.541,95.726,-164.493,-193.797,13.675,58.217,-40.244,39.853,314.921,86.349,-164.493
'[15:07:42.367 06/11/2076]',-71.502,-30.085,39.853,39.463,-132.063,35.556,4.689,67.985,-144.176,36.728,1.172,-31.258,76.581,107.057,-126.984,-195.360,19.145,56.264,-39.072,41.026,319.219,37.509,-126.984
'[15:07:42.371 06/11/2076]',-66.032,-32.039,37.509,36.337,-124.640,28.132,1.563,68.376,-125.812,32.039,0.000,-26.178,132.454,30.476,-94.945,-189.109,17.582,53.529,-36.728,44.933,291.477,26.960,-94.945
'[15:07:42.375 06/11/2076]',-58.608,-34.383,33.211,31.648,-118.779,17.192,1.563,69.939,-139.096,39.853,10.549,-25.397,135.971,3.126,-60.952,-192.625,19.536,54.310,-32.430,52.357,296.166,-28.523,-60.952
'[15:07:42.379 06/11/2076]',-55.482,-32.430,30.476,22.271,-109.402,7.814,-0.391,66.422,-121.905,66.813,-12.503,-40.244,112.918,54.701,-66.032,-210.208,25.397,46.496,-29.695,44.542,272.332,14.457,-66.032
'[15:07:42.383 06/11/2076]',-47.668,-33.211,29.304,11.331,-102.369,1.172,-4.298,64.078,-128.547,73.455,0.000,-26.178,125.031,40.635,-50.794,-197.314,33.993,42.198,-28.523,48.059,279.756,-23.053,-50.794
'[15:07:42.387 06/11/2076]',-41.416,-37.900,23.443,8.596,-96.117,-3.907,-8.596,60.952,-125.031,87.521,0.000,-15.629,134.017,52.357,-58.999,-180.904,42.198,37.118,-22.662,53.529,252.796,-3.907,-58.999
'[15:07:42.391 06/11/2076]',-43.761,-39.463,14.847,8.596,-96.899,-12.894,-14.847,65.250,-131.282,100.806,-8.596,-26.569,120.733,132.454,-130.891,-189.109,43.761,26.960,-14.066,45.714,242.637,68.376,-130.891
'[15:07:42.395 06/11/2076]',-39.853,-39.463,17.582,2.735,-100.024,-17.973,-17.582,75.409,-148.864,98.852,5.079,-24.615,121.905,150.818,-155.507,-187.937,48.449,21.880,-16.801,39.853,252.405,61.734,-155.507
'[15:07:42.398 06/11/2076]',-25.006,-37.900,19.536,-8.987,-89.866,-15.629,-10.549,62.515,-143.394,109.792,8.987,-19.536,143.394,106.276,-104.322,-189.890,58.999,26.569,-18.755,49.621,191.453,65.641,-104.322
'[15:07:42.402 06/11/2076]',-12.112,-36.728,17.973,-12.894,-84.786,-14.066,-5.079,58.608,-148.474,117.607,15.238,-4.298,141.832,117.216,-121.123,-158.242,69.939,31.648,-17.192,57.827,193.016,36.337,-121.123
'[15:07:42.406 06/11/2076]',-1.954,-27.350,18.755,-19.145,-82.051,-10.549,-5.470,67.595,-159.023,132.845,13.284,3.126,121.905,162.930,-149.646,-144.176,77.753,29.695,-17.973,43.370,194.969,41.807,-149.646
'[15:07:42.410 06/11/2076]',5.861,-23.053,15.629,-19.536,-81.661,-13.284,-1.563,75.409,-169.963,130.891,24.615,21.490,168.400,18.755,-47.668,-132.454,85.568,31.648,-14.847,37.118,191.062,-71.893,-47.668
'[15:07:42.414 06/11/2076]',15.238,-24.615,10.549,-14.457,-76.972,-21.099,8.987,75.018,-165.275,127.766,22.271,41.026,171.526,65.641,-116.825,-93.382,92.210,36.337,-9.768,42.198,194.579,-50.403,-116.825
'[15:07:42.418 06/11/2076]',19.145,-22.662,13.675,-21.490,-74.237,-26.178,13.675,75.018,-182.466,129.719,23.834,42.589,171.526,167.228,-244.982,-79.707,93.773,30.867,-12.894,36.337,212.552,24.615,-244.982
'[15:07:42.422 06/11/2076]',25.006,-19.145,18.364,-27.741,-70.330,-22.662,14.066,75.018,-197.705,144.567,43.761,33.602,152.381,124.249,-137.143,-115.263,105.495,27.741,-17.582,29.304,149.646,12.112,-137.143
'[15:07:42.426 06/11/2076]',44.933,-15.238,18.755,-35.165,-50.012,-8.987,12.894,58.999,-178.559,144.176,43.370,37.900,137.534,129.719,-140.659,-79.316,114.872,30.867,-17.973,43.370,114.872,-5.861,-140.659
'[15:07:42.430 06/11/2076]',53.529,-12.503,23.053,-32.430,-40.244,0.391,14.066,56.264,-180.904,165.275,47.668,37.900,94.554,241.465,-216.068,-50.403,125.812,30.867,-22.271,43.761,87.912,63.297,-216.068
