'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'[03:01:41.215 07/11/2076]',28.132,-7.033,8.987,103.932,-3.516,36.728,-124.640,227.790,-31.648,39.463,-9.768,51.184,94.554,-43.761,-28.523,27.741,46.886,-26.960,-8.205,-7.424,28.523,-34.774,-28.523
'[03:01:41.219 07/11/2076]',24.225,3.126,7.814,100.024,2.735,33.211,-122.686,224.274,-4.298,13.284,-19.145,62.125,5.861,44.542,-30.085,32.039,42.979,-27.741,-7.033,-7.814,-10.549,1.954,-30.085
'[03:01:41.223 07/11/2076]',13.284,11.331,8.205,97.289,2.344,24.615,-120.342,225.446,-2.344,3.907,-16.410,64.860,-11.331,23.053,-0.781,39.853,37.509,-27.350,-7.424,-7.033,-20.317,-24.615,-0.781
'[03:01:41.227 07/11/2076]',9.768,15.629,10.940,92.991,5.079,20.708,-112.918,218.022,0.000,2.735,-10.940,66.032,16.801,29.695,-29.695,41.807,33.211,-25.006,-10.159,-4.298,-10.940,-6.252,-29.695
'[03:01:41.230 07/11/2076]',1.563,35.556,12.112,81.661,5.861,18.755,-104.713,213.333,33.602,10.549,-43.370,71.111,-46.496,83.614,-12.894,49.231,30.476,-17.582,-11.331,-3.126,-50.012,8.596,-12.894
'[03:01:41.234 07/11/2076]',-6.252,56.264,7.814,72.674,6.252,21.490,-101.587,206.300,27.350,25.788,-35.556,66.032,-8.596,-16.410,56.264,54.310,28.132,-15.238,-7.033,-5.861,-63.297,-52.747,56.264
'[03:01:41.238 07/11/2076]',-7.814,54.310,3.516,73.455,11.722,25.006,-102.369,190.281,16.020,28.913,-25.788,60.562,118.388,-90.647,0.391,53.529,24.225,-25.006,-2.735,-9.377,-41.807,-18.364,0.391
'[03:01:41.242 07/11/2076]',-12.503,46.886,7.814,75.018,16.020,21.880,-103.541,184.811,43.761,-1.563,-36.337,52.747,23.834,-9.377,-3.126,48.449,20.317,-39.072,-7.033,-5.861,-46.105,-3.126,-3.126
'[03:01:41.246 07/11/2076]',-22.662,42.979,15.629,71.111,17.192,16.020,-107.057,181.685,41.807,-10.549,-27.350,40.635,40.244,-57.827,12.894,49.231,14.847,-46.886,-14.847,1.172,-48.449,-18.364,12.894
'[03:01:41.250 07/11/2076]',-34.774,40.244,32.430,44.542,19.927,8.987,-110.183,165.665,59.780,-36.337,-37.509,50.794,58.217,-68.767,-5.079,53.138,1.954,-39.463,-31.648,16.801,-52.357,1.563,-5.079
'[03:01:41.254 07/11/2076]',-46.496,39.463,53.529,14.847,23.053,0.391,-112.137,151.600,82.442,-34.383,-73.455,62.515,-24.615,-6.252,12.503,55.873,-6.642,-28.913,-52.747,33.602,-69.548,2.344,12.503
'[03:01:41.258 07/11/2076]',-49.231,36.728,50.012,10.549,23.443,-7.033,-110.183,143.785,85.177,-31.648,-72.283,44.542,-17.973,-16.020,-2.735,63.687,-8.987,-38.291,-49.231,35.165,-67.204,3.516,-2.735
'[03:01:41.262 07/11/2076]',-48.059,32.821,43.761,6.252,23.834,-10.159,-109.011,132.063,68.376,-32.821,-51.184,30.085,45.714,-27.741,-63.687,60.171,-12.503,-36.728,-42.979,30.476,-42.198,41.807,-63.687
'[03:01:41.266 07/11/2076]',-49.621,26.960,31.258,8.987,21.880,-14.066,-115.653,128.156,61.734,-48.449,-65.250,42.198,56.654,-14.457,-110.965,59.780,-20.317,-42.198,-30.476,19.145,-12.894,59.389,-110.965
'[03:01:41.270 07/11/2076]',-50.403,26.569,36.337,0.000,21.880,-14.847,-117.216,123.858,78.535,-42.198,-95.336,51.184,3.907,51.966,-119.951,56.654,-24.225,-34.774,-35.556,25.788,-32.821,90.256,-119.951
'[03:01:41.273 07/11/2076]',-50.012,28.913,41.026,-15.629,17.582,-12.503,-117.216,117.607,71.502,-44.151,-64.078,43.370,-0.391,25.397,-79.316,60.952,-25.397,-15.629,-40.244,30.476,-28.913,42.589,-79.316
'[03:01:41.277 07/11/2076]',-50.794,28.523,51.966,-33.993,14.847,-12.112,-117.607,112.137,76.972,-42.979,-57.827,39.072,-12.503,-53.529,21.490,60.171,-30.085,1.563,-51.184,40.244,-51.575,-33.993,21.490
'[03:01:41.281 07/11/2076]',-48.840,26.569,62.125,-51.184,10.159,-12.112,-116.044,107.839,64.469,-43.761,-50.794,55.092,3.907,-49.231,8.987,60.952,-30.085,24.225,-61.343,50.403,-62.906,-10.940,8.987
'[03:01:41.285 07/11/2076]',-47.668,23.053,60.171,-58.608,2.344,-15.238,-118.388,110.183,45.324,-42.979,-45.714,64.469,-6.642,-49.231,10.159,66.813,-32.039,35.165,-59.389,50.012,-61.343,-19.927,10.159
'[03:01:41.289 07/11/2076]',-45.324,26.569,51.575,-68.376,-1.954,-18.755,-118.779,106.667,22.271,-40.635,-34.774,67.204,35.165,-73.065,-17.192,69.939,-30.085,43.370,-50.794,41.416,-50.794,-5.861,-17.192
'[03:01:41.293 07/11/2076]',-42.589,28.913,44.542,-77.753,-5.079,-21.490,-121.514,103.932,29.304,-46.496,-46.886,75.800,-16.410,-10.159,-39.853,80.098,-30.085,50.794,-43.761,34.774,-53.529,9.768,-39.853
'[03:01:41.297 07/11/2076]',-31.258,26.178,30.085,-73.846,-3.126,-12.894,-126.984,96.899,12.112,-36.728,-26.960,69.548,-7.814,-1.954,-47.668,77.363,-25.397,49.621,-29.304,20.708,-39.853,7.033,-47.668
'[03:01:41.301 07/11/2076]',-29.304,24.615,16.410,-68.376,-2.735,-8.987,-132.454,89.475,-1.172,-33.211,-18.755,58.999,-24.615,-3.516,-43.370,78.144,-26.569,37.509,-15.629,7.033,-37.118,0.000,-43.370
'[03:01:41.305 07/11/2076]',-30.867,23.443,8.205,-60.952,-5.861,-7.033,-134.017,89.084,-11.331,-42.589,-15.629,61.734,-7.424,11.331,-81.661,70.720,-29.695,31.648,-7.424,-0.391,-33.211,41.416,-81.661
'[03:01:41.309 07/11/2076]',-23.053,14.066,-1.172,-44.542,-7.814,-3.516,-133.236,92.210,-43.370,-32.821,12.112,56.654,1.954,14.066,-89.084,65.641,-20.708,22.271,1.954,-9.768,0.391,19.145,-89.084
'[03:01:41.313 07/11/2076]',-21.880,20.708,-2.735,-47.277,-8.596,-5.079,-132.845,97.289,-31.258,-10.159,-12.503,49.621,-62.515,23.834,-39.072,73.065,-17.973,22.662,3.516,-10.940,-38.291,0.781,-39.072
'[03:01:41.316 07/11/2076]',-18.755,27.350,0.000,-55.092,-10.159,-2.735,-132.063,100.024,-37.900,-5.079,-19.536,70.330,-51.184,8.596,-24.615,75.800,-20.317,38.291,0.781,-7.814,-62.125,8.205,-24.615
'[03:01:41.320 07/11/2076]',-14.457,26.178,-3.126,-49.231,-10.549,0.000,-132.063,102.369,-37.118,6.252,-35.556,84.786,-65.250,-4.689,16.410,71.893,-16.410,39.463,3.907,-10.549,-67.985,-24.225,16.410
'[03:01:41.324 07/11/2076]',-8.596,21.880,-3.126,-41.807,-6.642,3.516,-127.375,99.634,-34.383,-4.689,-17.973,67.985,-38.681,-60.952,38.291,71.893,-8.596,27.741,3.907,-11.331,-78.535,-34.383,38.291
'[03:01:41.328 07/11/2076]',-2.735,13.675,0.391,-33.993,-3.126,10.159,-120.342,91.038,-35.556,-7.424,0.391,53.529,0.391,-67.595,10.159,66.813,-1.954,19.927,0.391,-10.159,-52.357,-23.834,10.159
'[03:01:41.332 07/11/2076]',-7.033,19.536,-1.954,-29.695,-3.126,16.020,-118.779,86.740,-28.132,-2.344,-21.099,68.376,-5.861,-32.430,-10.940,66.422,3.907,12.894,2.735,-12.112,-56.264,0.781,-10.940
'[03:01:41.336 07/11/2076]',-6.642,30.867,-6.642,-31.258,2.344,22.271,-117.998,79.707,0.781,-18.755,-34.774,75.800,-48.449,23.443,-20.708,69.158,10.159,5.861,7.424,-9.768,-75.800,21.490,-20.708
'[03:01:41.340 07/11/2076]',-6.252,32.430,-7.814,-25.006,5.470,29.304,-115.653,73.455,16.410,-14.457,-37.509,60.952,-51.966,56.264,-49.231,71.111,12.112,-3.516,8.596,-11.722,-58.608,30.867,-49.231
'[03:01:41.344 07/11/2076]',-7.033,49.231,-0.391,-33.211,7.033,39.463,-107.839,68.767,23.443,-3.516,-26.960,61.343,-45.714,106.667,-71.893,65.641,24.225,7.424,1.172,-13.675,-74.628,84.005,-71.893
'[03:01:41.348 07/11/2076]',-13.284,40.244,7.814,-19.145,0.391,37.900,-105.885,83.223,12.503,-0.391,-33.602,68.767,30.867,-33.211,-11.331,62.125,30.476,-1.954,-7.033,-7.033,-55.092,10.159,-11.331
'[03:01:41.352 07/11/2076]',-16.020,59.389,38.291,-51.575,0.391,44.933,-91.038,76.581,19.927,30.085,-49.231,89.084,30.085,-46.105,37.900,68.376,41.026,30.867,-37.509,16.410,-89.475,-4.298,37.900
'[03:01:41.355 07/11/2076]',-24.225,69.158,58.999,-62.125,-4.689,48.449,-75.018,73.846,19.927,69.158,-52.357,80.879,-10.940,2.735,58.608,67.595,51.966,46.886,-58.217,26.178,-109.792,7.033,58.608
'[03:01:41.359 07/11/2076]',-21.099,75.409,60.952,-59.389,-0.781,57.045,-66.032,66.422,33.993,68.376,-47.668,72.674,43.370,-59.780,84.396,59.780,57.045,45.714,-60.171,42.198,-126.593,-7.033,84.396
'[03:01:41.363 07/11/2076]',-12.112,77.753,53.529,-40.635,4.689,67.204,-61.343,66.813,45.714,55.482,-31.258,55.482,-14.066,31.258,51.575,56.654,59.780,37.118,-52.747,35.946,-114.090,14.457,51.575
'[03:01:41.367 07/11/2076]',-13.675,77.363,52.357,-30.867,6.642,72.674,-57.436,61.343,64.860,38.681,-28.132,40.635,-46.496,91.429,17.582,53.919,57.436,27.741,-51.575,36.728,-111.355,46.886,17.582
'[03:01:41.371 07/11/2076]',-13.675,78.144,42.979,-15.629,7.814,75.800,-56.264,64.078,55.092,29.695,-19.927,42.979,1.563,73.455,-7.033,40.244,57.827,18.755,-42.198,22.662,-79.316,58.999,-7.033
'[03:01:41.375 07/11/2076]',-6.642,72.283,47.668,-10.159,9.768,71.502,-55.873,76.972,50.794,30.476,-13.284,41.416,17.973,3.516,39.072,48.840,61.734,19.927,-46.886,35.165,-84.786,1.954,39.072
'[03:01:41.379 07/11/2076]',0.391,74.628,54.310,-16.801,16.410,71.502,-50.403,75.018,44.151,60.562,-3.516,30.085,13.675,26.178,44.933,45.714,67.985,32.039,-53.529,39.463,-85.177,1.172,44.933
'[03:01:41.383 07/11/2076]',0.000,78.144,55.092,-16.410,23.053,67.985,-52.357,78.144,45.324,53.919,-7.033,42.979,34.774,23.053,37.118,39.853,60.952,36.337,-54.310,41.416,-84.786,12.894,37.118
'[03:01:41.387 07/11/2076]',2.344,71.893,60.952,-19.927,28.132,63.297,-56.264,79.707,49.621,48.449,-19.927,56.264,34.383,14.066,45.714,40.244,54.701,40.635,-60.171,30.476,-76.581,12.503,45.714
'[03:01:41.391 07/11/2076]',1.954,64.469,57.436,-15.238,28.132,58.608,-54.310,75.800,42.589,48.449,3.126,35.165,10.159,49.231,28.523,42.198,57.436,30.476,-56.654,48.449,-67.985,-0.391,28.523
'[03:01:41.395 07/11/2076]',-1.954,57.827,40.635,-4.298,25.788,51.575,-54.310,69.548,36.728,21.880,28.913,13.675,36.728,38.681,-13.284,41.026,53.919,13.675,-39.853,32.430,-27.741,1.954,-13.284
'[03:01:41.398 07/11/2076]',-2.344,51.966,35.556,-5.470,24.615,48.840,-61.734,67.985,28.523,30.867,7.033,23.053,87.912,4.298,-45.714,44.933,52.357,3.907,-34.774,28.913,-16.020,17.582,-45.714
'[03:01:41.402 07/11/2076]',-4.298,51.575,30.867,-12.112,19.927,47.668,-70.720,68.376,25.006,43.761,-15.629,32.821,51.966,8.987,-30.085,55.873,52.747,0.000,-30.085,28.523,-30.476,0.391,-30.085
'[03:01:41.406 07/11/2076]',-1.563,51.575,12.894,-7.033,18.755,44.933,-76.581,67.595,14.457,33.993,0.391,24.615,125.031,-24.615,-77.753,52.357,51.575,-10.549,-12.112,12.503,3.516,15.238,-77.753
'[03:01:41.410 07/11/2076]',-0.391,51.575,27.741,-32.430,16.410,46.105,-84.396,67.985,7.424,46.496,-3.516,39.463,107.839,-64.469,-11.722,59.389,51.966,7.033,-26.960,23.834,-20.708,-26.960,-11.722
'[03:01:41.414 07/11/2076]',-1.172,45.324,34.383,-50.794,9.377,41.416,-95.336,70.720,17.973,28.132,-22.662,69.548,-6.642,14.066,14.457,72.283,48.059,18.364,-33.602,34.383,-41.026,-48.059,14.457
'[03:01:41.418 07/11/2076]',-1.172,39.463,20.317,-45.324,3.126,34.774,-96.508,71.502,0.391,28.132,-4.689,62.515,28.132,-19.927,5.861,72.674,50.403,15.629,-19.536,28.523,-17.192,-67.985,5.861
'[03:01:41.422 07/11/2076]',1.563,36.728,9.377,-55.482,1.563,33.993,-104.322,62.125,0.391,25.788,-11.331,59.780,-11.331,26.178,-11.722,72.283,43.761,13.675,-8.596,14.847,-2.344,-62.906,-11.722
'[03:01:41.426 07/11/2076]',2.344,30.085,-7.814,-45.714,-2.344,33.602,-113.700,61.343,2.735,8.987,-23.053,55.482,4.689,30.867,-58.217,67.595,35.165,-2.344,8.596,-5.861,3.126,-15.629,-58.217
'[03:01:41.430 07/11/2076]',4.298,20.317,-23.834,-25.397,-5.079,30.476,-117.998,67.204,-0.391,-4.298,-12.112,37.900,44.933,-10.549,-69.548,55.873,31.258,-19.145,24.615,-22.662,37.509,-28.132,-69.548
